npm warn config ignoring workspace config at /app/apps/next-web/.npmrc
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/PostEditorDialog.tsx:45:7: 'PLATFORMS' is assigned a value but never used. [Error/@typescript-eslint/no-unused-vars]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/PostEditorDialog.tsx:53:7: 'STATUS_OPTIONS' is assigned a value but never used. [Error/@typescript-eslint/no-unused-vars]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/PublishingLogsTable.tsx:251:60: Strings not allowed in JSX files: "Instagram" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/PublishingLogsTable.tsx:257:60: Strings not allowed in JSX files: "Facebook" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/PublishingLogsTable.tsx:263:60: Strings not allowed in JSX files: "LinkedIn" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:184:126: Strings not allowed in JSX files: "SOCIAL MEDIA STUDIO" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:191:140: Strings not allowed in JSX files: "Architect your brand&apos;s digital presence. Schedule, analyze, and scale your content across all social channels from one unified command center." [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:332:86: Strings not allowed in JSX files: "All Channels" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:338:86: Strings not allowed in JSX files: "Instagram" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:344:86: Strings not allowed in JSX files: "Facebook" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:350:86: Strings not allowed in JSX files: "LinkedIn" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:356:86: Strings not allowed in JSX files: "Twitter (X)" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/page.tsx:362:86: Strings not allowed in JSX files: "Google Business" [Error/react/jsx-no-literals]
/app/apps/next-web/src/app/[locale]/(admin)/admin/social-rise/planner/page.tsx:185:96: Strings not allowed in JSX files: "Content Planner" [Error/react/jsx-no-literals]
